Fix time interval of version 4.x,,,,,,,,,,,,,,,,,,,,,
,v4.0..v4.0.9,v4.1..v4.1.52,v4.2..v4.2.8,v4.3..v4.3.6,v4.4..v4.4.216,v4.5..v4.5.7,v4.6..v4.6.7,v4.7..v4.7.9,v4.8..v4.8.17,v4.9..v4.9.216,v4.10..v4.10.17,v4.11..v4.11.12,v4.12..v4.12.14,v4.13..v4.13.16,v4.14..v4.14.173,v4.15..v4.15.18,v4.16..v4.16.18,v4.17..v4.17.19,v4.18..v4.18.20,v4.19..v4.19.109,v4.20..v4.20.17
725,,1,,,8005,,,,,12733,,,,,6668,4,7231,8608,1247,1,877
726,,1058,,,68,,,,,1127,,,,,7048,56356,0,6095,103,1,8851
727,,19793,,,3843,,,,,4005,,,,,5417,1066,15165,12906,10447,357,0
728,,63373,,,521,,,,,6283,,,,,1417,4461,14445,1,1034,8823,5271
729,,162217,,,98213,,,,,31656,,,,,64,1,21784,79083,4508,3239,31063
730,,19590,,,12763,,,,,14793,,,,,11300,4099,731,1815,854,4663,16765
731,,75776,,,1,,,,,8158,,,,,50444,11497,1,62604,31,21599,10261
732,,68728,,,1,,,,,15740,,,,,762,3508,1,1291,13,352,4
733,,1,,,48912,,,,,2809,,,,,1123,3968,3884,16679,4511,1700,16
734,,5597,,,744,,,,,29788,,,,,6342,156617,3,156770,2171,269,11690
735,,2665,,,118702,,,,,133800,,,,,1770,0,22,5950,3461,5634,47161
736,,88690,,,49112,,,,,49652,,,,,120,910,7,82393,11131,5137,18411
737,,161505,,,6261,,,,,1,,,,,1169,49060,11064,23064,19522,20165,0
738,,2710,,,78799,,,,,6405,,,,,0,1,531,1,6096,1282,39745
739,,29103,,,10851,,,,,1,,,,,757,1,50803,13149,5381,0,39450
740,,80944,,,8,,,,,10478,,,,,53,499,46825,68713,47,0,2265
741,,15639,,,20048,,,,,2726,,,,,6563,24181,130937,12141,0,1736,1645
742,,91206,,,3494,,,,,2093,,,,,5291,15794,0,10090,4197,4610,9458
743,,57730,,,55562,,,,,638,,,,,620,13140,1536,2823,7034,2367,840
744,,325311,,,0,,,,,6891,,,,,2041,2,3825,29553,1860,4251,42
745,,22301,,,29086,,,,,5046,,,,,5885,78951,633,17034,2796,611,1712
746,,82432,,,50652,,,,,959,,,,,45243,2104,19382,84859,1710,1370,3011
747,,99211,,,17603,,,,,4649,,,,,1,0,52353,77450,101,7763,26778
748,,2866,,,5898,,,,,2215,,,,,1,1,4836,9599,5772,11389,3098
749,,52945,,,510,,,,,1100,,,,,6860,597,6990,179849,15987,9602,36672
750,,1,,,2334,,,,,45931,,,,,8166,4596,1,197673,2717,590,2861
751,,20303,,,149585,,,,,0,,,,,729,3674,1,,65847,436,2337
752,,9990,,,16404,,,,,3705,,,,,1828,6772,1,,12002,411,0
753,,250629,,,34566,,,,,12573,,,,,1,6534,4666,,858,1902,872
754,,83439,,,33436,,,,,1066,,,,,1,50790,7195,,61648,51384,1205
755,,98260,,,0,,,,,1427,,,,,60,0,2509,,33128,488,5138
756,,147100,,,0,,,,,1,,,,,5172,18219,1883,,19583,1159,1696
757,,10525,,,2480,,,,,5950,,,,,216,74931,422,,10598,124,1574
758,,11514,,,0,,,,,0,,,,,4,11412,2543,,3741,42,1930
759,,159970,,,11056,,,,,1,,,,,10,6293,10448,,3476,10501,5666
760,,241,,,9752,,,,,1,,,,,20,879,16946,,4674,458,2506
761,,78507,,,3300,,,,,9842,,,,,7,56664,36036,,95,1363,8121
762,,20188,,,15723,,,,,14227,,,,,17205,21968,2140,,13784,1809,55053
763,,59309,,,50612,,,,,1,,,,,2169,197427,804,,3684,0,7971
764,,6027,,,11910,,,,,22057,,,,,1679,62276,10729,,3278,0,8760
765,,82880,,,24223,,,,,0,,,,,20590,0,13950,,12,384,3705
766,,89653,,,50135,,,,,20416,,,,,20223,3059,1,,2625,2614,50777
767,,444,,,2521,,,,,9201,,,,,11646,88493,1,,2608,120,42020
768,,14986,,,1943,,,,,383,,,,,2506,112258,1,,20583,532,14792
769,,8535,,,73117,,,,,1813,,,,,2058,21846,1,,29959,1691,34127
770,,23769,,,3778,,,,,10113,,,,,6482,1,1,,349,5710,1
771,,44927,,,2389,,,,,60,,,,,4023,1,1,,5,7799,1
772,,8966,,,16385,,,,,5043,,,,,5,1,1,,5,25618,2
773,,29543,,,1644,,,,,7026,,,,,171,1,3739,,3950,4455,7820
774,,110020,,,71662,,,,,1381,,,,,1692,13567,57759,,2633,43365,13527
775,,280955,,,164712,,,,,0,,,,,11943,21163,8545,,0,21462,292
776,,19179,,,24150,,,,,644,,,,,72322,4,15638,,17361,2286,2148
777,,23952,,,15923,,,,,0,,,,,101310,32472,69551,,1789,2098,493
778,,44767,,,52478,,,,,1,,,,,21713,9413,4663,,1,38051,6754
779,,3282,,,7664,,,,,0,,,,,25987,22007,3,,1423,6350,2630
780,,4858,,,3350,,,,,40508,,,,,3484,26184,11,,862,30162,10212
781,,12779,,,18059,,,,,5695,,,,,3502,3023,30,,594,3504,10292
782,,61251,,,86811,,,,,35,,,,,460,83118,3,,74226,1,38006
783,,1,,,59847,,,,,1565,,,,,1506,12138,146,,5174,37196,2506
784,,12997,,,2011,,,,,6924,,,,,8804,76228,15663,,0,2752,14480
785,,76823,,,219,,,,,16750,,,,,34,90938,49064,,7914,916,10650
786,,180772,,,119,,,,,381,,,,,2915,64412,89957,,0,1175,52077
787,,80783,,,2328,,,,,23091,,,,,1620,29034,18035,,500,1261,18780
788,,82789,,,10013,,,,,0,,,,,2066,1,0,,0,0,0
789,,1,,,19524,,,,,20426,,,,,1140,50284,14454,,2837,687,4590
790,,2621,,,33156,,,,,24497,,,,,3659,16281,7474,,1214,2894,12571
791,,19745,,,21452,,,,,2460,,,,,0,16731,16282,,0,3798,14446
792,,82255,,,1750,,,,,17,,,,,9478,156351,34230,,1,754,108
793,,6,,,4631,,,,,4576,,,,,12230,,31273,,0,651,45356
794,,144649,,,7423,,,,,527,,,,,36934,,59735,,1904,4190,1379
795,,184176,,,2736,,,,,1269,,,,,2093,,7495,,4774,3010,1
796,,99908,,,952,,,,,9852,,,,,121,,76256,,5879,2754,5832
797,,3785,,,17729,,,,,2792,,,,,2717,,3832,,1,25649,4622
798,,1,,,53477,,,,,60390,,,,,2799,,15349,,13187,8680,9982
799,,696,,,746,,,,,1424,,,,,2615,,60953,,1160,37030,20503
800,,567,,,163,,,,,11215,,,,,4634,,4483,,23557,1801,49884
801,,1054,,,394,,,,,7712,,,,,3900,,18014,,8853,1206,1
802,,8920,,,106,,,,,29,,,,,603,,2232,,2805,12160,10972
803,,69959,,,2468,,,,,32,,,,,508,,2,,1421,2266,100
804,,6979,,,2651,,,,,22911,,,,,9244,,2683,,811,5406,0
805,,59557,,,3564,,,,,75867,,,,,1,,26764,,5,7360,5946
806,,4473,,,35662,,,,,9596,,,,,1,,30915,,16,16,1677
807,,20290,,,201760,,,,,40273,,,,,47372,,0,,2160,2583,5793
808,,3,,,20716,,,,,6766,,,,,5945,,0,,10,7824,7258
809,,272741,,,1,,,,,3479,,,,,3639,,19649,,9,2264,0
810,,6,,,2,,,,,23633,,,,,1077,,7214,,9,4584,57747
811,,48225,,,8123,,,,,16218,,,,,886,,5,,4323,703,8812
812,,41009,,,53181,,,,,33783,,,,,6407,,240315,,8495,0,156622
813,,48526,,,10278,,,,,748,,,,,1192,,0,,0,4115,1
814,,6380,,,1822,,,,,1211,,,,,2733,,21468,,972,22815,1159
815,,87414,,,14125,,,,,1843,,,,,4467,,1,,2304,4599,8055
816,,9740,,,5340,,,,,3579,,,,,2457,,1,,18332,237,10419
817,,6135,,,77551,,,,,1794,,,,,7155,,1,,0,1066,2340
818,,65373,,,3,,,,,2670,,,,,1,,1,,7085,1,5859
819,,8867,,,5,,,,,1,,,,,1751,,1,,23761,1,0
820,,7984,,,70070,,,,,590,,,,,1,,1,,10355,1279,2206
821,,3,,,357236,,,,,1398,,,,,1156,,4700,,2196,7224,0
822,,64314,,,9181,,,,,7816,,,,,612,,40440,,3396,5864,47830
823,,11256,,,2,,,,,1107,,,,,2272,,0,,16278,7585,1
824,,10105,,,7672,,,,,333,,,,,2949,,11940,,1793,1457,1
825,,8704,,,7758,,,,,1306,,,,,104,,11497,,453,8627,16692
826,,18243,,,45005,,,,,1439,,,,,13525,,3676,,6,30964,21
827,,0,,,0,,,,,1089,,,,,6,,5027,,29779,23036,1669
828,,43944,,,18115,,,,,7067,,,,,10871,,73262,,1643,3319,19376
829,,195392,,,1790,,,,,7018,,,,,24937,,0,,61806,1213,54814
830,,84344,,,57791,,,,,9,,,,,6789,,12238,,85092,3222,10234
831,,217,,,128048,,,,,293,,,,,1804,,983,,59880,10080,1
832,,14413,,,52669,,,,,7752,,,,,12233,,5980,,1,1658,1
833,,602125,,,1410,,,,,5492,,,,,1783,,3287,,8810,382,9717
834,,9225,,,4685,,,,,7456,,,,,2590,,20,,4868,3268,5270
835,,93,,,7458,,,,,9613,,,,,3638,,14082,,4117,3974,13593
836,,40730,,,29360,,,,,14566,,,,,0,,58018,,1871,322,36150
837,,6062,,,230813,,,,,4729,,,,,715,,12580,,62503,1,413
838,,0,,,10290,,,,,732,,,,,453,,92,,3039,351,9387
839,,17838,,,69758,,,,,1785,,,,,17500,,2616,,1199,1945,9601
840,,61824,,,7971,,,,,1363,,,,,7067,,40074,,5824,1,12379
841,,20766,,,442,,,,,1540,,,,,1,,15173,,1427,1,6721
842,,6076,,,1,,,,,1,,,,,29965,,8416,,1638,683,2035
843,,77196,,,2,,,,,3330,,,,,3576,,224834,,1982,51718,12395
844,,4760,,,67782,,,,,3136,,,,,3,,0,,7104,4807,77964
845,,111205,,,17053,,,,,1291,,,,,2,,73877,,7429,7284,7892
846,,0,,,30136,,,,,209,,,,,1699,,88526,,200,6190,3160
847,,116627,,,37213,,,,,3,,,,,1787,,187088,,10647,234,2730
848,,56899,,,18326,,,,,2888,,,,,553,,,,622,1491,37346
849,,30981,,,14626,,,,,778,,,,,4764,,,,48558,1625,1730
850,,13245,,,6985,,,,,137,,,,,486,,,,7528,1737,75602
851,,34319,,,1628,,,,,170,,,,,10107,,,,6880,7,54
852,,419,,,185,,,,,4954,,,,,2455,,,,3818,4,33275
853,,17624,,,1,,,,,8,,,,,2,,,,757,17,96517
854,,85986,,,9349,,,,,8,,,,,1905,,,,1,2490,13627
855,,392968,,,41956,,,,,8,,,,,1,,,,1,5625,127003
856,,0,,,1245,,,,,856,,,,,1,,,,6187,14671,2624
857,,1729,,,0,,,,,5922,,,,,1,,,,6802,257,5699
858,,9112,,,30363,,,,,738,,,,,1,,,,9395,36667,6291
859,,74757,,,16374,,,,,2848,,,,,1,,,,3,34419,5745
860,,11038,,,205679,,,,,2282,,,,,1,,,,1,13062,22969
861,,12,,,18786,,,,,2749,,,,,1,,,,22015,3719,39092
862,,57797,,,0,,,,,0,,,,,1,,,,24183,46108,6494
863,,23487,,,648,,,,,2437,,,,,1,,,,1377,15728,656
864,,3115,,,22015,,,,,47245,,,,,1,,,,3098,855,98111
865,,224,,,1,,,,,4014,,,,,1,,,,6462,6502,3502
866,,86410,,,1146,,,,,9425,,,,,1,,,,1,235,3101
867,,39793,,,4524,,,,,3298,,,,,14964,,,,3864,316,19730
868,,22960,,,425,,,,,0,,,,,382,,,,673,145,8411
869,,21151,,,569,,,,,1928,,,,,2432,,,,0,99,122802
870,,375323,,,37190,,,,,0,,,,,80742,,,,1,108,177
871,,113109,,,23429,,,,,3720,,,,,10401,,,,6012,77,90088
872,,26482,,,5131,,,,,50444,,,,,15050,,,,1,68,7114
873,,83377,,,86,,,,,14503,,,,,39934,,,,1467,70,545
874,,1430,,,1008,,,,,2127,,,,,1,,,,8,171,61287
875,,2898,,,13153,,,,,1,,,,,1,,,,12048,93,36936
876,,4808,,,24985,,,,,1272,,,,,48473,,,,7062,140,1
877,,189,,,25576,,,,,6624,,,,,1262,,,,1371,123,1
878,,1038,,,11633,,,,,73815,,,,,18822,,,,37094,8722,82199
879,,3731,,,354,,,,,89033,,,,,478,,,,11469,7007,3900
880,,241126,,,17252,,,,,6042,,,,,8961,,,,6719,34850,34915
881,,201002,,,1,,,,,3699,,,,,72837,,,,1868,1593,40711
882,,765,,,1,,,,,76164,,,,,0,,,,1,6060,69176
883,,59291,,,0,,,,,303,,,,,12689,,,,5221,0,
884,,140,,,0,,,,,4820,,,,,12815,,,,1,612,
885,,1,,,0,,,,,4,,,,,1138,,,,1,5657,
886,,87790,,,0,,,,,4078,,,,,867,,,,1,1959,
887,,102645,,,1,,,,,1169,,,,,6836,,,,1,2992,
888,,236496,,,0,,,,,5989,,,,,1,,,,1,4824,
889,,168762,,,1,,,,,3627,,,,,721,,,,1,3784,
890,,0,,,1,,,,,58645,,,,,9256,,,,1466,4190,
891,,97341,,,1,,,,,0,,,,,1608,,,,0,1,
892,,5898,,,1,,,,,4781,,,,,2,,,,15446,1234,
893,,239315,,,0,,,,,4310,,,,,0,,,,10266,8527,
894,,0,,,1,,,,,11639,,,,,9648,,,,56973,3012,
895,,11056,,,1,,,,,23307,,,,,5,,,,1231,18756,
896,,9752,,,73116,,,,,3690,,,,,33076,,,,70301,14344,
897,,3300,,,781,,,,,9678,,,,,12137,,,,82978,392,
898,,15723,,,1830,,,,,36674,,,,,9135,,,,1,2063,
899,,62522,,,3,,,,,1,,,,,19466,,,,6272,13531,
900,,74358,,,7938,,,,,1014,,,,,6714,,,,49,7226,
901,,2521,,,13773,,,,,613,,,,,6500,,,,1250,0,
902,,1943,,,36807,,,,,1641,,,,,0,,,,566,739,
903,,5731,,,4926,,,,,5523,,,,,36116,,,,5579,1,
904,,163244,,,9291,,,,,310,,,,,9325,,,,20,2889,
905,,164712,,,10356,,,,,12370,,,,,2107,,,,2212,642,
906,,24150,,,2916,,,,,11757,,,,,13678,,,,8931,551,
907,,278346,,,6817,,,,,11151,,,,,5241,,,,15080,13077,
908,,83099,,,6763,,,,,39062,,,,,4368,,,,3843,5110,
909,,60207,,,5788,,,,,1,,,,,27828,,,,0,21695,
910,,247514,,,3394,,,,,1,,,,,16338,,,,12129,1,
911,,28842,,,213406,,,,,8187,,,,,9626,,,,16,21294,
912,,53181,,,487,,,,,740,,,,,25371,,,,28661,4903,
913,,10278,,,4,,,,,3480,,,,,9780,,,,0,2790,
914,,1822,,,4335,,,,,4739,,,,,94391,,,,208,8824,
915,,19465,,,18316,,,,,1516,,,,,44172,,,,2858,1,
916,,77554,,,11422,,,,,20829,,,,,1,,,,4602,1,
917,,451924,,,1243,,,,,8907,,,,,3987,,,,1231,1,
918,,250749,,,56833,,,,,31816,,,,,14920,,,,906,1,
919,,66222,,,13358,,,,,4587,,,,,1,,,,5614,2456,
920,,340221,,,9036,,,,,22077,,,,,2741,,,,1504,5015,
921,,7971,,,1,,,,,538,,,,,18362,,,,3526,3582,
922,,77327,,,2341,,,,,8982,,,,,43413,,,,3868,828,
923,,93628,,,10513,,,,,1915,,,,,2176,,,,0,4237,
924,,14626,,,5191,,,,,2082,,,,,10948,,,,7198,1539,
925,,8613,,,28548,,,,,9702,,,,,0,,,,1,2062,
926,,83099,,,35482,,,,,73794,,,,,0,,,,1,270,
927,,64270,,,0,,,,,14351,,,,,2,,,,7541,1198,
928,,157783,,,6521,,,,,42164,,,,,24445,,,,1261,227,
929,,47120,,,391,,,,,21055,,,,,50857,,,,485,2322,
930,,425,,,1,,,,,144,,,,,5795,,,,42836,617,
931,,569,,,1630,,,,,58997,,,,,81,,,,3467,1958,
932,,37190,,,54033,,,,,5427,,,,,3179,,,,2791,1668,
933,,277212,,,3285,,,,,15795,,,,,845,,,,8163,2677,
934,,7141,,,1,,,,,5567,,,,,0,,,,6269,2505,
935,,6817,,,1,,,,,6678,,,,,9254,,,,0,2009,
936,,6763,,,1,,,,,54975,,,,,3898,,,,922,2877,
937,,169866,,,0,,,,,11700,,,,,3279,,,,3771,3916,
938,,1589,,,3214,,,,,8333,,,,,63755,,,,5162,33105,
939,,51133,,,32070,,,,,12520,,,,,0,,,,4498,4819,
940,,35807,,,14314,,,,,11446,,,,,5767,,,,1615,6516,
941,,81569,,,1,,,,,4449,,,,,2906,,,,10860,13526,
942,,86255,,,1,,,,,42076,,,,,6492,,,,2888,945,
943,,2022,,,43871,,,,,15467,,,,,2489,,,,35954,1,
944,,57075,,,0,,,,,2772,,,,,2910,,,,3151,5937,
945,,1,,,2466,,,,,5651,,,,,453,,,,3335,0,
946,,1,,,205,,,,,1,,,,,7240,,,,8396,1123,
947,,1,,,2992,,,,,3,,,,,3442,,,,564,2180,
948,,0,,,3163,,,,,8212,,,,,1065,,,,4298,2985,
949,,49841,,,629,,,,,184,,,,,9550,,,,121,0,
950,,1,,,6827,,,,,1693,,,,,20812,,,,3475,0,
951,,1,,,82247,,,,,1957,,,,,0,,,,2582,1411,
952,,49534,,,165624,,,,,43345,,,,,11184,,,,3415,2099,
953,,258490,,,12777,,,,,1475,,,,,5818,,,,10510,3671,
954,,37649,,,24872,,,,,1396,,,,,11570,,,,4570,0,
955,,152619,,,38034,,,,,6498,,,,,1777,,,,9937,10874,
956,,10554,,,88441,,,,,2587,,,,,5725,,,,1,29087,
957,,48280,,,12893,,,,,10040,,,,,4889,,,,1,7238,
958,,17751,,,1,,,,,1960,,,,,1155,,,,1,2899,
959,,317540,,,1,,,,,7018,,,,,17,,,,31117,8162,
960,,36889,,,13249,,,,,63651,,,,,4045,,,,3803,12910,
961,,359241,,,10554,,,,,2584,,,,,803,,,,1169,4323,
962,,230841,,,48280,,,,,1,,,,,14,,,,15883,2716,
963,,164412,,,16753,,,,,304,,,,,844,,,,3554,1015,
964,,512000,,,9,,,,,11224,,,,,840,,,,12,594,
965,,1,,,8,,,,,202,,,,,1041,,,,3,1066,
966,,17676,,,981,,,,,23,,,,,1341,,,,7,0,
967,,4226,,,175580,,,,,3,,,,,1,,,,7,4408,
968,,197833,,,4394,,,,,26,,,,,8256,,,,5,51054,
969,,118901,,,6895,,,,,41,,,,,1,,,,4,3281,
970,,18275,,,1,,,,,2266,,,,,137,,,,12,6426,
971,,179191,,,1,,,,,7725,,,,,2174,,,,8740,1403,
972,,17,,,55830,,,,,27042,,,,,2161,,,,1601,0,
973,,15,,,1,,,,,38190,,,,,0,,,,0,4505,
974,,3,,,36693,,,,,3956,,,,,363,,,,3246,518,
975,,150419,,,38145,,,,,20185,,,,,36640,,,,55045,2506,
976,,0,,,13101,,,,,81471,,,,,205,,,,22404,10443,
977,,120541,,,12484,,,,,59016,,,,,22581,,,,66136,1176,
978,,76403,,,11304,,,,,3743,,,,,2361,,,,2449,3918,
979,,27800,,,23661,,,,,1559,,,,,2093,,,,9181,3558,
980,,394621,,,76523,,,,,3038,,,,,346,,,,4797,3179,
981,,37300,,,47186,,,,,8982,,,,,4545,,,,40938,10972,
982,,34621,,,11996,,,,,5378,,,,,2814,,,,0,36317,
983,,354333,,,24802,,,,,3725,,,,,1,,,,21857,5024,
984,,369139,,,0,,,,,19360,,,,,1,,,,3867,19389,
985,,326068,,,49560,,,,,38064,,,,,6,,,,775,673,
986,,253266,,,257,,,,,18705,,,,,24888,,,,1400,5202,
987,,258736,,,12319,,,,,1100,,,,,2825,,,,14132,6433,
988,,12537,,,6571,,,,,10263,,,,,25196,,,,2254,50567,
989,,7992,,,73221,,,,,4560,,,,,3220,,,,10,0,
990,,171861,,,12696,,,,,268,,,,,31645,,,,6,2719,
991,,162680,,,15636,,,,,2433,,,,,9430,,,,5771,188,
992,,271186,,,4813,,,,,21935,,,,,2102,,,,8268,567,
993,,4146,,,2778,,,,,26185,,,,,59843,,,,8621,1558,
994,,2524,,,10065,,,,,1364,,,,,1096,,,,32284,1,
995,,79428,,,157063,,,,,3175,,,,,1004,,,,15566,231,
996,,1,,,60935,,,,,2249,,,,,70707,,,,0,1277,
997,,87453,,,6226,,,,,581,,,,,8988,,,,1,56,
998,,152381,,,81623,,,,,804,,,,,8564,,,,1,2196,
999,,3637,,,876,,,,,4122,,,,,1456,,,,3468,1829,
1000,,875879,,,5184,,,,,7623,,,,,3824,,,,0,391,
1001,,1,,,77792,,,,,1012,,,,,618,,,,2010,3351,
1002,,1,,,18074,,,,,3887,,,,,0,,,,1128,967,
1003,,1,,,233,,,,,341,,,,,162,,,,4376,872,
1004,,1,,,60493,,,,,6860,,,,,0,,,,213,2072,
1005,,1,,,339907,,,,,1741,,,,,150,,,,8453,3479,
1006,,171,,,3758,,,,,4107,,,,,24203,,,,1,5533,
1007,,0,,,11956,,,,,6715,,,,,32522,,,,3556,2015,
1008,,131458,,,3750,,,,,3471,,,,,9327,,,,1,4675,
1009,,25515,,,14186,,,,,40852,,,,,0,,,,12766,227,
1010,,275787,,,1,,,,,13298,,,,,0,,,,45324,41855,
1011,,185129,,,1,,,,,1,,,,,7171,,,,7530,4622,
1012,,5294,,,52352,,,,,1,,,,,245,,,,5911,626,
1013,,48688,,,1,,,,,1,,,,,3277,,,,8068,13050,
1014,,109968,,,9744,,,,,1,,,,,1408,,,,7647,1603,
1015,,1371,,,7932,,,,,3565,,,,,1319,,,,4065,414,
1016,,321720,,,4226,,,,,40,,,,,557,,,,4778,1,
1017,,35515,,,274,,,,,6385,,,,,1487,,,,5474,1,
1018,,63625,,,175943,,,,,4058,,,,,8134,,,,41964,1,
1019,,107096,,,68072,,,,,8649,,,,,17358,,,,115,1882,
1020,,65474,,,3536,,,,,56011,,,,,16923,,,,4355,2805,
1021,,117385,,,15292,,,,,3821,,,,,12890,,,,1,580,
1022,,386005,,,53617,,,,,1350,,,,,8003,,,,3037,3638,
1023,,27073,,,18275,,,,,7023,,,,,7721,,,,0,2580,
1024,,18085,,,10609,,,,,4068,,,,,1905,,,,3176,1899,
1025,,127322,,,15,,,,,3048,,,,,1475,,,,1,1,
1026,,352870,,,88,,,,,6002,,,,,61,,,,1669,3223,
1027,,13833,,,168479,,,,,11047,,,,,621,,,,7217,4292,
1028,,25465,,,17,,,,,1,,,,,614,,,,1210,11338,
1029,,254096,,,15,,,,,45768,,,,,1071,,,,2127,18875,
1030,,317,,,3,,,,,30608,,,,,1039,,,,4413,140,
1031,,133272,,,13485,,,,,0,,,,,948,,,,11782,11223,
1032,,167150,,,57385,,,,,0,,,,,2736,,,,8024,4927,
1033,,3300,,,31407,,,,,59897,,,,,746,,,,66,3348,
1034,,16495,,,47657,,,,,6153,,,,,5706,,,,38001,1463,
1035,,6071,,,485,,,,,8913,,,,,2394,,,,1,679,
1036,,165106,,,0,,,,,25536,,,,,333,,,,2618,2452,
1037,,12,,,15556,,,,,0,,,,,10465,,,,10733,0,
1038,,0,,,12704,,,,,38646,,,,,12028,,,,3489,21,
1039,,1,,,76584,,,,,4281,,,,,42470,,,,6733,153,
1040,,1,,,1,,,,,0,,,,,956,,,,1777,639,
1041,,1,,,7177,,,,,10350,,,,,1,,,,5425,2835,
1042,,161081,,,1,,,,,8636,,,,,1,,,,13280,445,
1043,,368711,,,1,,,,,8146,,,,,4043,,,,10973,3439,
1044,,11846,,,8127,,,,,1,,,,,6927,,,,31137,1966,
1045,,56172,,,390,,,,,2,,,,,2576,,,,40555,6946,
1046,,110364,,,45797,,,,,0,,,,,10572,,,,0,69,
1047,,92944,,,14625,,,,,1,,,,,3,,,,47991,899,
1048,,253240,,,15981,,,,,239,,,,,1532,,,,0,1330,
1049,,160186,,,2196,,,,,1,,,,,14092,,,,34444,2773,
1050,,1,,,16595,,,,,1,,,,,3342,,,,14558,180,
1051,,1,,,9009,,,,,1,,,,,986,,,,24332,681,
1052,,3,,,152380,,,,,17311,,,,,29713,,,,12998,5144,
1053,,1,,,17007,,,,,3268,,,,,1,,,,5158,16558,
1054,,100182,,,4091,,,,,1,,,,,1,,,,5164,36994,
1055,,1,,,14109,,,,,54886,,,,,1,,,,0,4746,
1056,,320393,,,1,,,,,2144,,,,,8094,,,,5433,3424,
1057,,96099,,,1,,,,,3410,,,,,2369,,,,9528,1678,
1058,,8166,,,24456,,,,,0,,,,,1425,,,,2,1301,
1059,,291,,,0,,,,,1,,,,,5223,,,,159,0,
1060,,1,,,138786,,,,,8547,,,,,1484,,,,23161,1,
1061,,1,,,43790,,,,,0,,,,,4978,,,,0,0,
1062,,1,,,4075,,,,,9187,,,,,3204,,,,35561,1,
1063,,5,,,1,,,,,6461,,,,,3933,,,,23278,0,
1064,,1,,,8663,,,,,34053,,,,,1362,,,,2981,541,
1065,,1,,,24561,,,,,45,,,,,3,,,,1240,2092,
1066,,5,,,34621,,,,,7019,,,,,4424,,,,9792,4385,
1067,,3,,,35,,,,,7771,,,,,664,,,,10207,1292,
1068,,2,,,17438,,,,,4979,,,,,22,,,,1,1,
1069,,1,,,0,,,,,73596,,,,,17617,,,,7785,1484,
1070,,1,,,76604,,,,,4105,,,,,1,,,,9062,316,
1071,,1,,,3918,,,,,15149,,,,,7338,,,,31072,50,
1072,,109820,,,11841,,,,,2226,,,,,37252,,,,3028,1750,
1073,,4749,,,478,,,,,44,,,,,279,,,,1953,2775,
1074,,37662,,,6316,,,,,2477,,,,,1892,,,,1071,3883,
1075,,11860,,,175550,,,,,1,,,,,14321,,,,7110,1545,
1076,,18550,,,23050,,,,,1,,,,,17769,,,,19,11938,
1077,,50908,,,39103,,,,,1,,,,,5522,,,,14,13563,
1078,,34958,,,109,,,,,1,,,,,6339,,,,8291,28496,
1079,,1,,,36211,,,,,1,,,,,39796,,,,1377,225,
1080,,1,,,58450,,,,,1276,,,,,29752,,,,1,5083,
1081,,1,,,13208,,,,,2720,,,,,9024,,,,11179,2272,
1082,,5,,,18242,,,,,4524,,,,,3980,,,,4987,1279,
1083,,55393,,,108670,,,,,51927,,,,,32238,,,,40275,6009,
1084,,189,,,34141,,,,,6646,,,,,4529,,,,2917,3251,
1085,,1,,,6662,,,,,6441,,,,,1551,,,,5304,2135,
1086,,190329,,,27440,,,,,2837,,,,,2768,,,,11535,4,
1087,,1344,,,41418,,,,,2,,,,,1443,,,,16856,7,
1088,,3374,,,22808,,,,,1280,,,,,1731,,,,5346,11,
1089,,68232,,,1780,,,,,634,,,,,624,,,,31663,3,
1090,,957,,,16912,,,,,2,,,,,5795,,,,2524,4,
1091,,0,,,43318,,,,,7016,,,,,1591,,,,11125,0,
1092,,17528,,,99265,,,,,899,,,,,2344,,,,22872,5,
1093,,42,,,101370,,,,,315,,,,,1698,,,,2742,6,
1094,,58406,,,60626,,,,,2314,,,,,7378,,,,14893,30,
1095,,24075,,,4577,,,,,403,,,,,17,,,,39239,3,
1096,,0,,,6575,,,,,27915,,,,,24,,,,38308,5,
1097,,20896,,,19223,,,,,39290,,,,,322,,,,105627,4,
1098,,62087,,,1,,,,,12398,,,,,1786,,,,28,4,
1099,,1,,,1,,,,,51971,,,,,1986,,,,32643,0,
1100,,1,,,1,,,,,38926,,,,,1,,,,4127,6,
1101,,1,,,1,,,,,3912,,,,,9392,,,,15394,4,
1102,,2,,,1,,,,,6454,,,,,1,,,,22714,4,
1103,,4,,,1,,,,,14396,,,,,56010,,,,8862,4,
1104,,1,,,1,,,,,35610,,,,,4804,,,,60003,1571,
1105,,1,,,12720,,,,,1,,,,,414,,,,0,1031,
1106,,1,,,38736,,,,,1,,,,,0,,,,4305,2259,
1107,,358515,,,2264,,,,,2541,,,,,3485,,,,11292,18548,
1108,,1,,,0,,,,,5919,,,,,2791,,,,43701,9751,
1109,,0,,,0,,,,,4391,,,,,1954,,,,19550,1,
1110,,78424,,,100,,,,,481,,,,,1,,,,2322,4490,
1111,,61685,,,2968,,,,,171,,,,,1,,,,20802,3521,
1112,,1,,,28797,,,,,81,,,,,1348,,,,7990,0,
1113,,1,,,8995,,,,,238,,,,,1519,,,,37625,36971,
1114,,25110,,,45327,,,,,1,,,,,69,,,,10853,3848,
